stop_id,stop_name,stop_lon,stop_lat
41416,C. LABELLE/FACE AU 970,-73.750478,45.543065
41417,LABELLE/C.ENTREPOT,-73.752497,45.544905
41418,C. LABELLE/FACE AU 986,-73.75094,45.543208
41419,C. LABELLE/FACE AU 41,-73.730018,45.534334
41420,C. LABELLE/FACE AU 1200,-73.753074,45.545156
41421,C. LABELLE/MARIE-ANTOINETTE,-73.75404,45.546305
41422,C. LABELLE/M.-ANTOINETTE,-73.75445,45.546394
41423,C. LABELLE/LORANGER,-73.758785,45.550551
41424,C. LABELLE/SOUVENIR,-73.756792,45.548819
41425,C. LABELLE/SOUVENIR,-73.757421,45.549078
41426,C. LABELLE/S. MARTIN,-73.75889,45.551109
41427,C. LABELLE/S. MARTIN,-73.760715,45.552427
41428,C. LABELLE/S. MARTIN,-73.760652,45.552796
41429,C. LABELLE/FACE AU 1830,-73.761679,45.553226
41430,C. LABELLE/ALBERT,-73.763589,45.55458
41431,C.LABELLE/LEVESQUE,-73.730908,45.536015
41432,C. LABELLE/MAYO,-73.763682,45.554265
41433,C. LABELLE/ACADIA,-73.765136,45.555746
41434,CURE LABELLE/ACADIA,-73.765705,45.555783
41435,C. LABELLE/CARREFOUR,-73.766923,45.557362
41436,C. LABELLE/L.-PAYETTE,-73.767244,45.557172
41437,C-LABELLE/ ADONIS,-73.768378,45.55869
41438,C. LABELLE/ ADONIS,-73.768659,45.558456
41439,C. LABELLE/JAGUIN,-73.771771,45.561112
41440,C. LABELLE/CLEROUX,-73.773143,45.561253
41441,C. LABELLE/FACE AU 2539,-73.77385,45.56189
41442,C.LABELLE/LEVESQUE,-73.732603,45.5372
41443,C. LABELLE/FACE AU 2914,-73.779677,45.566645
41444,C. LABELLE/S. ELZEAR,-73.781391,45.568728
41445,C. LABELLE/S. ELZEAR,-73.782097,45.568828
41446,C. LABELLE/EDITH,-73.786762,45.574258
41447,C. LABELLE/FACE AU 289,-73.78708,45.573978
41448,C. LABELLE/ERICKA,-73.787375,45.576506
41449,C. LABELLE/FACE AU 405,-73.787993,45.577098
41450,C. LABELLE/DAGENAIS,-73.788504,45.579978
41451,C. LABELLE/DAGENAIS,-73.788583,45.578912
41452,C. LABELLE/GABRIEL,-73.789268,45.583232
41453,C. LABELLE/GABRIEL,-73.789653,45.583366
41454,C. LABELLE/FACE AU 480,-73.786712,45.592254
41455,C. LABELLE/Y.-BERGER,-73.786859,45.591254
41456,C. LABELLE/CANARDIERE,-73.787654,45.595703
41457,C. LABELLE/DRAPEAU,-73.787993,45.595417
41458,C. LABELLE/FACE AU 289,-73.788293,45.598036
41459,C. LABELLE/FACE AU 285,-73.788755,45.598215
41460,CARTIER/73E AV.,-73.734055,45.538263
41461,C. LABELLE/77E AV.,-73.738479,45.53799
41462,C. LABELLE/75E AV.,-73.736961,45.538217
41463,C. LABELLE/80E AV.,-73.741704,45.537178
41465,DAGENAIS/FELIX,-73.804404,45.578972
41466,DAGENAIS/HUGUES,-73.809606,45.577008
41467,DAGENAIS/FRIDOLIN,-73.806941,45.578794
41468,DAGENAIS/MONTROUGEAU,-73.810955,45.577137
41469,DAGENAIS/FRIDOLIN,-73.806401,45.578481
41470,DAGENAIS/INGRID,-73.813724,45.575008
41472,DAGENAIS/LUCE,-73.812704,45.576016
41474,DAGENAIS/LISANE,-73.815591,45.574416
41475,DAGENAIS/LISANE,-73.815599,45.57407
41476,DAGENAIS/JACQUES,-73.817635,45.573402
41477,DAGENAIS/C. LABELLE,-73.788887,45.579376
41478,DAGENAIS/JACQUES,-73.817736,45.573006
41479,DAGENAIS/MARCELLIN,-73.820714,45.571819
41480,DAGENAIS/JUSTIN,-73.820763,45.57136
41481,DAGENAIS/OVIDE,-73.826779,45.566007
41483,DAGENAIS/OVIDE,-73.826649,45.565647
41487,DAGENAIS/COBLENCE,-73.725825,45.609614
41488,DAGENAIS/COBLENCE,-73.725977,45.609227
41489,DAGENAIS/FACE AU 94,-73.729102,45.608437
41490,DAGENAIS/GRENADE,-73.729062,45.607979
41492,DAGENAIS/PARADIS,-73.731202,45.606844
41493,DAGENAIS/GILBERT,-73.792653,45.578787
41494,DAGENAIS/ROSSIGNOLS,-73.769227,45.586178
41495,DAGENAIS/ROSSIGNOLS,-73.769152,45.586646
41497,DAGENAIS/GILBERT,-73.792347,45.578977
41498,DAGENAIS/ELYSE,-73.795088,45.578772
41499,DAGENAIS/ELYSE,-73.794794,45.578952
41500,DAGENAIS/FRONTENAC,-73.801355,45.579061
41501,DAGENAIS/FLEURY,-73.80305,45.579669
41502,D. JOHNSON/CHENONCEAU,-73.751115,45.56317
41504,D. JOHNSON/FACE AU 2323,-73.751266,45.563841
41505,DANIEL-JOHNSON,-73.753279,45.56508
41506,D. JOHNSON/E.-MONTPETIT,-73.752239,45.564703
41508,D. JOHNSON/FACE AU CENTROPOLIS,-73.746745,45.559357
41509,D. JOHNSON/FACE AU CENTROPOLIS,-73.746941,45.56006
41510,D. JOHNSON/FACE AU 2540,-73.754717,45.566873
41511,D. JOHNSON/FACE AU 2540,-73.755941,45.567421
41512,ARGENTEUIL/B.PASTEUR,-73.712825,45.555478
41513,ARGENTEUIL/LAVAL,-73.710421,45.556517
41514,ARGENTEUIL/GIROUX,-73.717924,45.552481
41515,ARGENTEUIL/MONTMORENCY,-73.716659,45.55314
41516,ARGENTEUIL/MONTMORENCY,-73.716711,45.553302
41517,ARGENTEUIL/DESMARTEAU,-73.714167,45.554711
41518,ARGENTEUIL/DESMARTEAU,-73.714065,45.5549
41519,ARGENTEUIL/B.PASTEUR,-73.712889,45.555316
41529,RENAISSANCE/HENRI-ANGERS,-73.791349,45.601628
41530,RENAISSANCE /A.-PLAMONDON,-73.793679,45.601118
41531,RENAISSANCE /A.-PLAMONDON,-73.793463,45.601335
41532,RENAISSANCE/C. LABELLE,-73.791745,45.601384
41533,RENAISSANCE/P.-E.-BORDUAS,-73.79755,45.601212
41534,SALABERRY/RANGER,-73.713473,45.527024
41537,J.-DESNOYERS/FACE AU 100,-73.676296,45.559814
41539,S. HUBERT/J.-DESNOYERS,-73.677317,45.558373
41543,DUFFERIN/RUISSEAU,-73.781982,45.625344
41544,DUFFERIN/LAC,-73.78226,45.627044
41545,DUFFERIN/LAC,-73.782478,45.62716
41546,CP DUFFERIN,-73.782833,45.628577
41547,DUFFERIN/S. ROSE,-73.780197,45.619787
41548,DUFFERIN/NAPOLEON,-73.780642,45.621153
41549,DUFFERIN/NAPOLEON,-73.78078,45.620992
41550,DUFFERIN/GIGUERE,-73.780927,45.622188
41551,DUFFERIN/GIGUERE,-73.781133,45.622251
41552,DUFFERIN/SICOTTE,-73.781267,45.623456
41553,DUFFERIN/SICOTTE,-73.781525,45.62368
41554,DUFFERIN/RUISSEAU,-73.781721,45.625118
41555,DAGENAIS/C. LABELLE,-73.789305,45.579483
41556,ECORES/LEVESQUE,-73.674002,45.571786
41557,ECORES/N.-D.-DE-FATIMA,-73.674092,45.571938
